Date,Open,High,Low,Close,Adj Close,Volume
2016-03-23,647.799988,649.400024,640.000000,643.799988,527.315491,28826
2016-03-28,645.000000,651.299988,630.650024,632.000000,517.650391,47602
2016-03-29,625.000000,633.450012,613.250000,614.900024,503.644440,55533
2016-03-30,622.049988,640.500000,620.000000,639.400024,523.711548,71751
2016-03-31,639.349976,653.000000,629.599976,646.750000,529.731628,39988
2016-04-01,650.000000,660.000000,639.150024,645.349976,528.584839,59812
2016-04-04,648.750000,648.750000,622.049988,631.299988,517.076965,69705
2016-04-05,622.400024,631.750000,611.299988,613.349976,502.374756,65017
2016-04-06,613.849976,628.950012,600.099976,623.200012,510.442596,114276
2016-04-07,629.450012,629.450012,611.049988,614.049988,502.948090,48374
2016-04-08,610.250000,618.900024,605.000000,607.400024,497.501434,36726
2016-04-11,611.450012,625.500000,608.500000,623.549988,510.729309,63900
2016-04-12,625.650024,631.349976,616.599976,620.450012,508.190216,37114
2016-04-13,630.000000,634.750000,623.450012,626.200012,512.899780,44928
2016-04-18,630.000000,647.799988,622.450012,642.799988,526.496338,61351
2016-04-20,642.400024,667.299988,642.400024,655.250000,536.693787,86815
2016-04-21,657.750000,670.000000,657.000000,665.700012,545.252991,75722
2016-04-22,659.349976,676.700012,659.250000,672.900024,551.150208,50808
2016-04-25,673.049988,676.000000,652.349976,671.000000,549.594055,2717868
2016-04-26,675.750000,687.500000,662.900024,680.000000,556.965637,734198
2016-04-27,679.000000,706.000000,678.000000,701.450012,574.534546,101970
2016-04-28,689.000000,709.900024,688.000000,696.549988,570.521179,57043
2016-04-29,687.099976,699.900024,667.000000,690.900024,565.893372,81374
2016-05-02,690.549988,703.650024,688.599976,691.849976,566.671509,91528
2016-05-03,695.000000,701.650024,674.650024,682.049988,558.644775,97144
2016-05-04,677.500000,680.099976,661.349976,668.799988,547.792114,62562
2016-05-05,670.599976,685.099976,664.200012,669.200012,548.119751,2114416
2016-05-06,669.700012,679.500000,668.950012,676.349976,553.976013,30935
2016-05-09,678.450012,695.049988,678.450012,693.299988,567.859192,57165
2016-05-10,692.000000,693.650024,681.000000,685.849976,561.757202,24649
2016-05-11,680.000000,686.950012,671.099976,682.049988,558.644775,38363
2016-05-12,685.049988,717.900024,684.450012,712.250000,583.380493,2260176
2016-05-13,710.000000,727.500000,710.000000,713.900024,584.732056,104068
2016-05-16,713.000000,737.500000,713.000000,725.049988,593.864563,67515
2016-05-17,725.000000,735.349976,718.950012,721.000000,590.547363,62316
2016-05-18,719.299988,731.000000,715.650024,728.900024,597.018066,30358
2016-05-19,732.000000,732.500000,686.000000,692.299988,567.040100,129650
2016-05-20,690.000000,699.000000,683.250000,688.049988,563.559143,87632
2016-05-23,687.000000,708.849976,687.000000,691.200012,566.139099,82939
2016-05-24,695.000000,695.000000,672.000000,682.650024,559.136230,50171
2016-05-25,690.000000,700.549988,690.000000,696.150024,570.193665,26646
2016-05-26,700.000000,721.000000,700.000000,718.849976,588.786377,64509
2016-05-27,719.200012,758.000000,716.000000,742.000000,607.747803,117056
2016-05-30,745.000000,753.250000,731.299988,736.450012,603.201965,36747
2016-05-31,740.000000,740.000000,716.000000,720.150024,589.851318,52614
2016-06-01,725.000000,734.799988,720.250000,725.150024,593.946533,42600
2016-06-02,728.000000,740.700012,727.000000,730.849976,598.615234,48453
2016-06-03,737.400024,757.349976,737.400024,752.150024,616.061279,63181
2016-06-06,756.000000,765.000000,740.250000,743.200012,608.730713,57442
2016-06-07,743.200012,751.849976,734.750000,737.549988,604.102966,26357
2016-06-08,740.000000,743.599976,732.500000,741.000000,606.928711,26603
2016-06-09,741.000000,747.000000,732.049988,735.599976,602.505798,58672
2016-06-10,735.000000,737.549988,707.500000,713.000000,583.994873,67623
2016-06-13,700.000000,702.950012,687.400024,697.700012,571.463074,88626
2016-06-14,699.750000,703.200012,689.500000,694.250000,568.637329,43136
2016-06-15,693.049988,711.000000,693.049988,705.900024,578.179504,59869
2016-06-16,703.349976,704.799988,690.250000,698.700012,572.282166,30787
2016-06-17,700.000000,705.799988,691.000000,695.349976,569.538269,21629
2016-06-20,695.250000,701.849976,685.549988,699.849976,573.224121,69786
2016-06-21,702.000000,704.500000,692.650024,695.000000,569.251587,64537
2016-06-22,693.000000,698.250000,686.150024,689.299988,564.582886,23330
2016-06-23,690.099976,694.000000,681.000000,683.900024,560.159973,36246
2016-06-24,661.000000,668.250000,625.000000,656.450012,537.676697,155235
2016-06-27,658.000000,668.500000,652.799988,658.849976,539.642334,42236
2016-06-28,660.000000,670.549988,651.200012,665.250000,544.884338,90585
2016-06-29,668.000000,668.000000,654.250000,661.250000,541.608154,111088
2016-06-30,666.099976,676.000000,657.950012,671.099976,549.675842,100079
2016-07-01,673.500000,688.549988,673.500000,679.099976,556.228394,46519
2016-07-04,686.000000,690.700012,677.099976,687.500000,563.108643,54227
2016-07-05,688.000000,688.000000,675.250000,679.250000,556.351318,52084
2016-07-07,684.900024,685.000000,672.049988,675.650024,553.402771,40952
2016-07-08,675.900024,690.000000,672.400024,688.099976,563.600037,51449
2016-07-11,695.000000,724.000000,692.650024,715.349976,585.919617,149719
2016-07-12,720.000000,747.000000,718.000000,743.349976,608.853394,138566
2016-07-13,750.000000,756.450012,685.099976,714.400024,585.141541,902311
2016-07-14,711.000000,711.000000,689.750000,696.799988,570.726013,203486
2016-07-15,697.500000,720.000000,697.500000,707.700012,579.653809,854465
2016-07-18,715.000000,726.299988,707.349976,710.099976,581.619507,460946
2016-07-19,713.000000,713.950012,698.900024,712.000000,583.175781,1010552
2016-07-20,710.549988,716.849976,710.000000,713.000000,583.994873,33574
2016-07-21,720.000000,720.099976,711.200012,714.200012,584.977844,77262
2016-07-22,719.000000,738.400024,713.400024,735.049988,602.055237,117785
2016-07-25,737.049988,768.599976,728.799988,742.150024,607.870605,400065
2016-07-26,752.400024,773.250000,747.650024,764.250000,625.971985,275228
2016-07-27,760.000000,785.599976,760.000000,774.099976,634.039795,126569
2016-07-28,778.799988,782.750000,767.400024,770.250000,630.886475,44888
2016-07-29,770.000000,777.599976,757.799988,764.049988,625.808289,151170
2016-08-01,775.000000,775.750000,754.000000,761.400024,623.637695,1478059
2016-08-02,764.799988,786.750000,764.450012,782.250000,640.715271,137453
2016-08-03,785.200012,794.000000,778.250000,788.200012,645.588684,107209
2016-08-04,793.000000,805.599976,780.150024,801.349976,656.359436,137671
2016-08-05,799.000000,804.849976,785.400024,796.000000,659.382996,82314
2016-08-08,796.650024,814.000000,791.099976,810.250000,671.187195,70609
2016-08-09,810.250000,810.250000,793.599976,805.849976,667.542358,49450
2016-08-10,810.000000,810.000000,774.049988,781.799988,647.619995,65466
2016-08-11,785.200012,791.000000,771.599976,782.099976,647.868774,61680
2016-08-12,782.599976,800.000000,782.599976,797.950012,660.998352,65921
2016-08-16,800.000000,818.000000,787.599976,814.450012,674.666382,263235
2016-08-17,818.000000,821.250000,802.299988,808.950012,670.110474,67696
2016-08-18,812.900024,815.000000,799.700012,803.700012,665.761536,79509
